date,growth,term,inflation,credit,buyout,vc,fof_secondary,fof_primary,senior_loan,mezzanine,apac_equity,hfri_fof_cons,msci_gpfi,re_noncore,gl1,gl2,epra_nareit,infra_core,ftse_fi_infra
2008-06-30,-0.01575873016,-0.03167450366,0.03514015833,0.01760493764,-0.0159,-0.0057,-0.0065,-0.0083,,0.0435,-0.0411,0.01681044692,0.00666,-0.0239,,,-0.08559767948,0.0308,
2008-09-30,-0.1660724704,0.02262763877,-0.06109097769,-0.1102223972,-0.1017,-0.03,-0.0339,-0.0703,,-0.1325,-0.0909,-0.08355674431,-0.079068,-0.0995,,,-0.1041057856,-0.0922,
2008-12-31,-0.2236794607,0.1220445177,-0.1466239586,-0.07162042716,-0.1887,-0.1139,-0.161,-0.1435,,-0.1982,-0.1738,-0.1147497582,-0.154965,-0.269,,,-0.3237853208,-0.1083,
2009-03-31,-0.1070302838,-0.01331334862,0.06886951787,-0.007294723,-0.0477,-0.0253,-0.0282,-0.0421,,-0.0426,-0.0038,0.007082346038,-0.111865,-0.1156,,,-0.2209459537,-0.0706,
2009-06-30,0.2225593238,-0.05039764096,0.0638003956,0.1620925436,0.0537,0.0115,-0.0242,-0.0116,,0.2705,0.148,0.03874805036,-0.021386,-0.1236,,,0.3590563804,0.0405,
2009-09-30,0.178634233,0.02700668111,0.0007359896519,0.06403716385,0.0798,0.0173,0.0257,0.0402,,0.1758,0.0744,0.03681056858,-0.023272,-0.0386,,,0.2508197431,0.019,
2009-12-31,0.04626496198,-0.02345611142,0.04179561203,0.04076541573,0.0649,0.043,0.0725,0.0506,,0.0867,0.1164,0.01094270905,-0.002224,-0.1196,,,0.04395485554,-0.002,
2010-03-31,0.03130761881,0.0152624007,-0.009849810449,0.01431680533,0.0273,0.005,0.0169,0.0106,,0.055,0.0394,0.01699717229,0.005386,0.0051,,,0.03965524386,-0.0115,
2010-06-30,-0.1212127253,0.07741359128,-0.04238021896,-0.02585471019,0.0015,-0.0011,0.0211,-0.0104,-0.0188,-0.0172,0.0114,-0.01500874123,0.002125,0.0343,,,-0.07886408928,-0.0019,0.04366505954
2010-09-30,0.1433971852,0.04486061472,-0.02250756979,0.01692666176,0.0689,0.0408,0.0613,0.0662,0.0638,0.0502,0.1076,0.02250433747,0.092945,0.0559,,,0.1844076274,0.0878,0.04287022672
2010-12-31,0.08727137959,-0.04307136603,0.04025789846,0.01773177714,0.0755,0.0836,0.0985,0.0743,0.0423,0.0609,0.1137,0.02582855672,0.04757,0.0841,,,0.06151272047,0.016,-0.01642475699
2011-03-31,0.04422693018,-0.002116099506,0.02280635424,0.01231644893,0.0625,0.0341,0.0421,0.0479,0.0261,0.051,0.013,0.01090527651,0.041149,0.0495,,,0.0304332863,0.0587,0.01156727768
2011-06-30,0.002491931794,0.0379699679,-0.003954080768,-0.008171287683,0.0563,0.0697,0.0458,0.0489,0.009,0.009,0.0136,-0.007732852308,0.04277,0.0513,,,0.02942090023,0.0314,0.02809112476
2011-09-30,-0.1742331169,0.1011291792,-0.05988987232,-0.05577933794,-0.0642,-0.0061,0.0115,-0.0266,-0.0718,-0.1002,-0.0703,-0.03907465558,-0.008094,0.0035,,,-0.1730116604,-0.1074,0.05465434926
2011-12-31,0.07183230601,0.01353926386,0.01095081634,0.009245250655,0.0355,0.0264,0.0197,0.0132,0.0463,0.0358,0.0047,0.0005816658911,0.032949,0.0379,,,0.0736300295,0.0137,0.02549801817
2012-03-31,0.1187635451,-0.01630219671,0.0263280879,0.03888322648,0.0624,0.0508,0.0261,0.039,0.0584,0.0726,0.049,0.02474305057,0.030824,0.0229,0.007289,0.0171654,0.1289720241,0.0877,0.004857810441
2012-06-30,-0.05561900846,0.04941531498,-0.02111936393,-0.01405378207,-0.0027,-0.001,0.0196,0.004,0.004,0.0059,-0.0216,-0.01728938751,0.009094,0.0144,0.007421,0.0231417,0.02117756725,-0.0055,0.0340787702
2012-09-30,0.06835527984,0.01025641026,0.01014374278,0.0305755336,0.037,0.008,0.0267,0.0204,0.0648,0.0507,0.0354,0.01815329443,0.027383,0.0238,0.011528,0.0177388,0.05505828806,0.0306,0.04147687961
2012-12-31,0.02882230352,-0.001257175389,0.007918977555,0.01552103286,0.0448,0.031,0.0476,0.0272,0.0163,0.0276,0.0526,0.01643341002,0.018906,0.037,0.019803,0.0259903,0.05767064316,0.0055,0.01154423123
